,date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation,region
366,2013-01-31,290.0,97.665,2.9693339476783,66.401125766213,-32.011338999424,17.892592966954,-2.2137329291094,10.841327079773,43.289574610251,23.023099566344,PAK
367,2012-07-31,285.0,94.605,3.012525765023,65.857885615251,-30.386464124252,21.978226977205,9.841074777349,13.67154742836,23.681682716441,29.641954494252,PAK
368,2012-01-31,260.0,90.05,2.8872848417546,61.945764101,-31.209590115491,24.925118086122,6.4531115143758,22.259693172166,20.570501430796,25.371066191577,PAK
369,2011-07-31,205.13,86.345,2.3757021251954,50.462484624846,-41.557143291625,15.599692642592,-15.19212059146,6.3332861237576,9.5844643513872,11.881989391226,PAK
370,2010-07-31,210.0,85.525,2.4554223911137,56.25,-34.229757380883,,,,,,PAK
371,2010-01-31,200.0,82.6,2.4213075060533,56.022408963585,-32.176260334642,,,,,,PAK
372,2009-07-31,190.0,82.6,2.3002421307506,53.221288515406,-35.56744731791,,,,,,PAK
373,2008-06-30,140.0,70.9,1.9746121297602,39.21568627451,-44.688735861058,,,,,,PAK
374,2007-06-30,140.0,60.37,2.319032632102,41.055718475073,-31.993177944222,,,,,,PAK
375,2007-01-31,140.0,60.055,2.331196403297,43.478260869565,-27.602596170901,,,,,,PAK
376,2006-05-31,130.0,60.055,2.1646823744901,41.935483870968,-30.171536306773,,,,,,PAK
377,2006-01-31,0.0,0.0,0.0,0.0,0.0,,,,,,PAK
378,2005-06-30,130.0,59.62,2.180476350218,42.483660130719,-28.742602934051,,,,,,PAK
379,2004-05-31,110.0,57.76,1.904432132964,37.931034482759,-34.329926449518,,,,,,PAK
380,2003-04-30,0.0,0.0,0.0,0.0,0.0,,,,,,PAK
381,2002-04-30,0.0,0.0,0.0,0.0,0.0,,,,,,PAK
382,2001-04-30,0.0,0.0,0.0,0.0,0.0,,,,,,PAK
383,2000-04-30,0.0,0.0,0.0,0.0,0.0,,,,,,PAK
384,2022-01-31,135.0,77.4175,1.74379177834469,23.23580034423409,-69.986,-52.134,-53.756,-51.549,-31.229000000000003,-54.308,RUS
385,2021-07-31,169.0,74.53,2.26754327116597,29.911504424778716,-59.866,-34.305,-39.833,-34.969,-13.118,-34.056999999999995,RUS
386,2021-01-31,135.0,74.63,1.80892402519094,23.85159010600704,-68.0,-47.3,-53.2,-44.0,-34.8,-48.5,RUS
